id,formula,description
0_Ag2BiO3,Ag 2 Bi 1 O 3,"Ag 2 Bi 1 O 3 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
1_Ag2CO3,Ag 2 C 1 O 3,"Ag 2 C 1 O 3 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
2_Ag2GePbS4,Ag 2 Ge 1 Pb 1 S 4,"Ag 2 Ge 1 Pb 1 S 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
3_Ag2GeS3,Ag 2 Ge 1 S 3,"Ag 2 Ge 1 S 3 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
4_Ag2HgO2,Ag 2 Hg 1 O 2,"Ag 2 Hg 1 O 2 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of s, LUMO element of Hg, LUMO energy of -21, gap AO of 94."
5_Ag2Mo2O7,Ag 2 Mo 2 O 7,"Ag 2 Mo 2 O 7 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of s, LUMO element of Ag, LUMO energy of -16, gap AO of 141."
6_Ag2MoO4,Ag 2 Mo 1 O 4,"Ag 2 Mo 1 O 4 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of s, LUMO element of Ag, LUMO energy of -16, gap AO of 141."
7_Ag2P2PbO7,Ag 2 P 2 Pb 1 O 7,"Ag 2 P 2 Pb 1 O 7 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
8_Ag2SeO3,Ag 2 Se 1 O 3,"Ag 2 Se 1 O 3 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of p, LUMO element of Se, LUMO energy of -25, gap AO of 53."
9_Ag2SeO4,Ag 2 Se 1 O 4,"Ag 2 Se 1 O 4 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
10_Ag2W2O7,Ag 2 W 2 O 7,"Ag 2 W 2 O 7 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of W, LUMO energy of -22, gap AO of 78."
11_Ag3AsS3,Ag 3 As 1 S 3,"Ag 3 As 1 S 3 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of As, LUMO energy of -20, gap AO of 64."
12_Ag3PO4,Ag 3 P 1 O 4,"Ag 3 P 1 O 4 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
13_Ag3PS4,Ag 3 P 1 S 4,"Ag 3 P 1 S 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
14_Ag3PSe4,Ag 3 P 1 Se 4,"Ag 3 P 1 Se 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
15_Ag4P2S7,Ag 4 P 2 S 7,"Ag 4 P 2 S 7 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
16_Ag4TeSO4,Ag 4 Te 1 S 1 O 4,"Ag 4 Te 1 S 1 O 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of S, LUMO energy of -26."
17_Ag5BiO4,Ag 5 Bi 1 O 4,"Ag 5 Bi 1 O 4 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of p, LUMO element of Bi, LUMO energy of -18, gap AO of 119."
18_Ag5GeO4,Ag 5 Ge 1 O 4,"Ag 5 Ge 1 O 4 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
19_Ag5PSeO4,Ag 5 P 1 Se 1 O 4,"Ag 5 P 1 Se 1 O 4 has HOMO character of p, HOMO element of Se, HOMO energy of -25, LUMO character of p, LUMO element of Se, LUMO energy of -25."
20_Ag5SbS4,Ag 5 Sb 1 S 4,"Ag 5 Sb 1 S 4 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of Sb, LUMO energy of -19, gap AO of 76."
21_Ag5TePO4,Ag 5 Te 1 P 1 O 4,"Ag 5 Te 1 P 1 O 4 has HOMO character of p, HOMO element of Te, HOMO energy of -23, LUMO character of p, LUMO element of Te, LUMO energy of -23."
22_AgAsO3,Ag 1 As 1 O 3,"Ag 1 As 1 O 3 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
23_AgAsS2,Ag 1 As 1 S 2,"Ag 1 As 1 S 2 has HOMO character of p, HOMO element of S, HOMO energy of -26, LUMO character of p, LUMO element of As, LUMO energy of -20, gap AO of 64."
24_AgB3O5,Ag 1 B 3 O 5,"Ag 1 B 3 O 5 has HOMO character of d, HOMO element of Ag, HOMO energy of -30, LUMO character of d, LUMO element of Ag, LUMO energy of -30."
